_RAJ2000	_DEJ2000	_V	mode	q_mode	cl	SDSS8	m_SDSS8	Im	RA_ICRS	DE_ICRS	zsp	umag	e_umag	gmag	e_gmag	rmag	e_rmag	imag	e_imag	zmag	e_zmag	Q	ObsDate	objID
------------	------------	----------	-	----------	-	----------	----------	----------	----------	----------	--------	------	------	------	------	------	------	------	------	------	------	-	---------	-------------------
191.54075200	+30.75858200	VizieR	1	 	6	J124609.78+304530.8	 	Im	191.540752	+30.758582	 	20.490	0.069	17.924	0.006	16.813	0.004	16.440	0.004	16.233	0.008	3	2004.3922	1237665443125067850
191.54340100	+30.75437500	VizieR	1	 	6	J124610.41+304515.7	 	Im	191.543401	+30.754375	 	22.778	0.473	23.871	0.483	21.902	0.131	21.500	0.142	20.573	0.219	3	2004.3922	1237665443125067915
191.54349400	+30.75302700	VizieR	1	 	6	J124610.43+304510.9	 	Im	191.543494	+30.753027	 	24.599	1.349	22.188	0.113	20.967	0.059	20.756	0.076	22.827	0.888	3	2004.3922	1237665443125067857
191.54355700	+30.74792800	VizieR	1	 	3	J124610.45+304452.5	 	Im	191.543557	+30.747928	 	16.710	0.038	15.376	0.006	14.936	0.009	14.755	0.009	14.886	0.029	3	2004.3922	1237665443125067856
191.54369100	+30.75569700	VizieR	1	 	6	J124610.48+304520.5	 	Im	191.543691	+30.755697	 	24.522	1.257	22.143	0.106	21.563	0.094	21.292	0.117	21.162	0.364	3	2004.3922	1237665443125067859
191.54369200	+30.75342000	VizieR	1	 	3	J124610.48+304512.3	 	Im	191.543692	+30.753420	 	23.047	0.634	21.225	0.054	20.906	0.060	20.579	0.069	20.227	0.178	3	2004.3922	1237665443125067858
191.54397500	+30.75646400	VizieR	1	 	6	J124610.55+304523.2	 	Im	191.543975	+30.756464	 	24.650	1.206	22.393	0.124	21.555	0.090	21.436	0.127	21.385	0.414	3	2004.3922	1237665443125067860
191.54422400	+30.75589200	VizieR	1	 	6	J124610.61+304521.2	 	Im	191.544224	+30.755892	 	22.513	0.375	22.691	0.164	21.936	0.129	21.864	0.192	22.228	0.737	3	2004.3922	1237665443125067922
