_RAJ2000	_DEJ2000	_V	mode	q_mode	cl	SDSS8	m_SDSS8	Im	RA_ICRS	DE_ICRS	zsp	umag	e_umag	gmag	e_gmag	rmag	e_rmag	imag	e_imag	zmag	e_zmag	Q	ObsDate	objID
------------	------------	----------	-	----------	-	----------	----------	----------	----------	----------	--------	------	------	------	------	------	------	------	------	------	------	-	---------	-------------------
021.14730900	+03.77247900	VizieR	1	 	3	J012435.35+034620.9	 	Im	021.147309	+03.772479	 	22.650	0.452	21.420	0.077	22.051	0.186	21.813	0.213	22.827	0.958	3	2008.7567	1237678621699735594
021.14795600	+03.76777400	VizieR	1	 	6	J012435.50+034603.9	 	Im	021.147956	+03.767774	 	24.172	1.070	21.777	0.085	21.432	0.085	22.014	0.199	21.644	0.473	3	2008.7567	1237678621699735587
021.14831900	+03.76797300	VizieR	1	 	6	J012435.59+034604.7	 	Im	021.148319	+03.767973	 	24.788	1.227	21.801	0.093	21.836	0.132	20.990	0.088	22.063	0.670	3	2008.7567	1237678621699735605
021.14881300	+03.77077100	VizieR	1	 	6	J012435.71+034614.7	 	Im	021.148813	+03.770771	 	24.098	1.047	21.900	0.098	22.195	0.172	23.043	0.487	22.806	0.769	3	2008.7567	1237678621699735596
021.14883000	+03.77116700	VizieR	1	 	6	J012435.71+034616.2	 	Im	021.148830	+03.771167	 	25.050	1.002	22.340	0.136	21.889	0.123	21.204	0.093	20.550	0.183	3	2008.7567	1237678621699735592
021.14947300	+03.76969900	VizieR	1	 	3	J012435.87+034610.9	 	Im	021.149473	+03.769699	 	21.980	0.292	21.226	0.058	20.950	0.061	21.045	0.094	21.984	0.640	3	2008.7567	1237678621699735588
021.15006400	+03.76381900	VizieR	1	 	3	J012436.01+034549.7	 	Im	021.150064	+03.763819	 	24.387	1.230	22.120	0.125	21.726	0.122	20.640	0.067	20.387	0.190	3	2008.7567	1237678621699735601
021.15167600	+03.76714600	VizieR	1	 	3	J012436.40+034601.7	 	Im	021.151676	+03.767146	 	23.211	0.647	21.741	0.092	20.916	0.061	20.680	0.070	20.768	0.264	3	2008.7567	1237678621699735595
021.15197200	+03.76581700	VizieR	1	 	6	J012436.47+034556.9	 	Im	021.151972	+03.765817	 	24.739	1.132	22.111	0.114	21.214	0.070	21.088	0.088	22.024	0.606	3	2008.7567	1237678621699735600
021.15328500	+03.76773800	VizieR	1	 	3	J012436.78+034603.8	 	Im	021.153285	+03.767738	 	31.080	0.182	15.620	0.010	15.846	0.016	16.137	0.032	18.009	0.640	3	2008.7567	1237678621699735581
021.15477400	+03.76221900	VizieR	1	 	3	J012437.14+034543.9	 	Im	021.154774	+03.762219	 	25.106	1.245	21.045	0.056	20.909	0.067	20.792	0.091	21.001	0.358	3	2008.7567	1237678621699735597
021.15601700	+03.76089000	VizieR	1	 	3	J012437.44+034539.2	 	Im	021.156017	+03.760890	 	23.188	0.728	21.127	0.062	20.949	0.072	20.913	0.102	20.865	0.337	3	2008.7567	1237678621699735602
