Bandpass,Central Wavelength,The Galactic extinction,Refcode of the publications
SDSS u,0.36,0.257,2011ApJ...737..103S
SDSS g,0.47,0.200,2011ApJ...737..103S
SDSS r,0.62,0.138,2011ApJ...737..103S
SDSS i,0.75,0.103,2011ApJ...737..103S
SDSS z,0.89,0.076,2011ApJ...737..103S
