Bandpass,Central Wavelength,The Galactic extinction,Refcode of the publications
SDSS u,0.36,0.070,2011ApJ...737..103S
SDSS g,0.47,0.055,2011ApJ...737..103S
SDSS r,0.62,0.038,2011ApJ...737..103S
SDSS i,0.75,0.028,2011ApJ...737..103S
SDSS z,0.89,0.021,2011ApJ...737..103S
